Order_ID,Rating,Review_Flag
1,3,Good
2,4,Good
3,1,Good
4,4,Bad
5,4,Bad
6,5,Good
7,3,Good
8,1,Good
9,2,Good
10,3,Bad
11,3,Good
12,2,Good
13,2,Bad
14,1,Bad
15,3,Good
16,4,Good
17,3,Good
18,5,Bad
19,3,Good
20,2,Good
21,1,Good
22,5,Bad
23,3,Good
24,3,Bad
25,2,Bad
26,4,Good
27,3,Bad
28,3,Good
29,2,Good
30,3,Bad
31,3,Good
32,4,Bad
33,3,Bad
34,5,Good
35,1,Bad
36,2,Bad
37,2,Good
38,5,Good
39,3,Bad
40,2,Good
41,3,Good
42,1,Bad
43,3,Good
44,5,Bad
45,3,Good
46,2,Good
47,2,Good
48,3,Bad
49,5,Good
50,1,Bad
51,3,Good
52,2,Bad
53,4,Bad
54,3,Good
55,3,Bad
56,3,Good
57,1,Bad
58,3,Bad
59,2,Bad
60,1,Bad
61,1,Good
62,5,Bad
63,5,Bad
64,4,Bad
65,4,Good
66,4,Good
67,4,Bad
68,5,Bad
69,5,Bad
70,1,Bad
71,4,Bad
72,3,Bad
73,3,Bad
74,3,Bad
75,1,Good
76,5,Good
77,5,Bad
78,3,Bad
79,2,Good
80,2,Good
81,1,Good
82,3,Good
83,5,Good
84,1,Bad
85,4,Good
86,1,Good
87,3,Good
88,2,Bad
89,4,Good
90,2,Bad
91,3,Good
92,4,Bad
93,3,Good
94,3,Good
95,5,Bad
96,1,Bad
97,2,Good
98,1,Bad
99,2,Good
100,4,Good
101,2,Bad
102,3,Bad
103,5,Good
104,2,Good
105,5,Bad
106,4,Good
107,3,Good
108,5,Bad
109,2,Bad
110,1,Good
111,3,Good
112,1,Bad
113,3,Bad
114,5,Good
115,4,Bad
116,4,Bad
117,3,Bad
118,3,Bad
119,2,Good
120,5,Good
121,1,Bad
122,2,Bad
123,4,Good
124,3,Good
125,5,Good
126,2,Bad
127,5,Bad
128,5,Bad
129,3,Bad
130,1,Bad
131,2,Good
132,2,Bad
133,1,Bad
134,4,Bad
135,5,Bad
136,2,Good
137,1,Bad
138,4,Good
139,4,Bad
140,5,Good
141,5,Good
142,2,Good
143,2,Bad
144,4,Bad
145,4,Bad
146,2,Bad
147,4,Bad
148,2,Good
149,1,Bad
150,3,Good
151,1,Bad
152,3,Bad
153,4,Bad
154,1,Bad
155,5,Bad
156,1,Good
157,5,Good
158,1,Bad
159,4,Bad
160,4,Good
161,4,Bad
162,2,Good
163,2,Bad
164,3,Bad
165,3,Good
166,4,Bad
167,3,Good
168,3,Bad
169,1,Good
170,2,Good
171,2,Bad
172,4,Good
173,3,Good
174,4,Good
175,5,Bad
176,2,Good
177,4,Good
178,2,Bad
179,4,Good
180,4,Good
181,1,Bad
182,2,Good
183,3,Bad
184,5,Good
185,3,Good
186,2,Good
187,5,Good
188,5,Good
189,1,Bad
190,5,Bad
191,5,Good
192,3,Good
193,5,Good
194,1,Bad
195,3,Good
196,3,Bad
197,3,Bad
198,1,Bad
199,4,Bad
200,5,Good
201,1,Bad
202,5,Bad
203,2,Bad
204,4,Good
205,2,Bad
206,2,Bad
207,3,Good
208,2,Bad
209,2,Bad
210,1,Good
211,4,Good
212,4,Bad
213,5,Good
214,2,Good
215,5,Good
216,4,Good
217,4,Bad
218,3,Bad
219,3,Good
220,2,Bad
221,4,Bad
222,1,Bad
223,2,Good
224,1,Good
225,1,Good
226,3,Bad
227,1,Bad
228,5,Good
229,4,Good
230,3,Bad
231,2,Good
232,3,Bad
233,2,Good
234,5,Bad
235,3,Bad
236,3,Good
237,1,Bad
238,2,Bad
239,2,Bad
240,4,Bad
241,5,Good
242,2,Bad
243,4,Bad
244,3,Bad
245,3,Bad
246,5,Bad
247,3,Bad
248,3,Bad
249,2,Bad
250,1,Good
251,1,Good
252,5,Bad
253,2,Bad
254,5,Bad
255,1,Bad
256,5,Good
257,5,Good
258,4,Good
259,1,Bad
260,2,Bad
261,2,Good
262,4,Good
263,2,Bad
264,5,Good
265,2,Bad
266,2,Bad
267,4,Good
268,2,Good
269,2,Good
270,1,Good
271,3,Good
272,2,Bad
273,2,Bad
274,5,Good
275,4,Good
276,4,Good
277,3,Good
278,2,Good
279,2,Bad
280,1,Good
281,2,Bad
282,2,Bad
283,5,Good
284,3,Bad
285,1,Bad
286,5,Bad
287,1,Bad
288,3,Bad
289,2,Bad
290,2,Bad
291,4,Good
292,1,Good
293,5,Good
294,4,Good
295,2,Bad
296,1,Bad
297,2,Good
298,5,Bad
299,1,Bad
300,4,Good
301,4,Good
302,1,Bad
303,3,Bad
304,2,Bad
305,3,Bad
306,2,Good
307,5,Good
308,5,Bad
309,1,Bad
310,4,Bad
311,1,Good
312,3,Bad
313,5,Bad
314,5,Bad
315,2,Good
316,4,Bad
317,1,Bad
318,1,Bad
319,4,Good
320,1,Good
321,3,Good
322,2,Good
323,2,Good
324,5,Bad
325,4,Bad
326,2,Bad
